35,35
41,49
35,17
55,45
55,20
15,30
25,30
20,50
10,43
55,60
30,60
20,65
50,35
30,25
15,10
30,5
10,20
5,30
20,40
15,60
45,65
45,20
45,10
55,5
65,35
65,20
45,30
35,40
41,37
64,42
40,60
31,52
35,69
53,52
65,55
63,65
2,60
20,20
5,51
60,12
40,25
42,7
24,12
23,3
11,14
6,38
2,48
8,56
13,52
6,68
47,47
49,58
27,43
37,31
57,29
63,23
53,12
32,12
36,26
21,24
17,34
12,24
24,58
27,69
15,77
62,77
49,73
67,5
56,39
37,47
37,56
57,68
47,16
44,17
46,13
49,11
49,42
53,43
61,52
57,48
56,37
55,54
15,47
14,37
11,31
16,22
4,18
28,18
26,52
26,35
31,67
15,19
22,22
18,24
26,27
25,24
22,27
25,21
19,21
20,26
18,18
37,52
49,49
52,64
20,26
40,30
21,47
17,63
31,62
52,33
51,21
42,41
31,32
5,25
12,42
36,16
52,41
27,23
17,33
13,13
57,58
62,42
42,57
16,57
8,52
7,38
27,68
30,48
43,67
58,48
58,27
37,69
38,46
46,10
61,33
62,63
63,69
32,22
45,35
59,15
5,6
10,17
21,10
5,64
30,15
39,10
32,39
25,32
25,55
48,28
56,37
22,22
36,26
21,45
45,35
55,20
33,34
50,50
55,45
26,59
40,66
55,65
35,51
62,35
62,57
62,24
21,36
33,44
9,56
62,48
66,14
44,13
26,13
11,28
7,43
17,64
41,46
55,34
35,16
52,26
43,26
31,76
22,53
26,29
50,40
55,50
54,10
60,15
47,66
30,60
30,50
12,17
15,14
16,19
21,48
50,30
51,42
50,15
48,21
12,38
